id,namespace,path,description_id,class,category,width,height,tags,resource_references
"betterarcheology:bombentity","betterarcheology","bombentity","entity.betterarcheology.bombentity","net.minecraft.world.entity.EntityType","misc","0.25","0.25","","0"
"bloodlines:lingering_devour","bloodlines","lingering_devour","entity.bloodlines.lingering_devour","net.minecraft.world.entity.EntityType","misc","6.0","0.5","","0"
"cnc:beaver","cnc","beaver","entity.cnc.beaver","net.minecraft.world.entity.EntityType","creature","0.7","0.6","","1"
"cnc:bewitched_timber_wolf","cnc","bewitched_timber_wolf","entity.cnc.bewitched_timber_wolf","net.minecraft.world.entity.EntityType","monster","0.6","0.9","","1"
"cnc:black_bear","cnc","black_bear","entity.cnc.black_bear","net.minecraft.world.entity.EntityType","creature","1.2","1.2","","1"
"cnc:caribou","cnc","caribou","entity.cnc.caribou","net.minecraft.world.entity.EntityType","creature","1.4","1.4","","2"
"cnc:chupacabra","cnc","chupacabra","entity.cnc.chupacabra","net.minecraft.world.entity.EntityType","monster","0.6","0.8","","1"
"cnc:chupacabra_spit","cnc","chupacabra_spit","entity.cnc.chupacabra_spit","net.minecraft.world.entity.EntityType","misc","0.5","0.5","","0"
"cnc:cougar","cnc","cougar","entity.cnc.cougar","net.minecraft.world.entity.EntityType","creature","0.8","0.9","","1"
"cnc:coyote","cnc","coyote","entity.cnc.coyote","net.minecraft.world.entity.EntityType","creature","0.6","0.8","","1"
"cnc:elk","cnc","elk","entity.cnc.elk","net.minecraft.world.entity.EntityType","creature","1.4","1.6","","1"
"cnc:giant_boar","cnc","giant_boar","entity.cnc.giant_boar","net.minecraft.world.entity.EntityType","creature","1.5","2.0","","1"
"cnc:goose","cnc","goose","entity.cnc.goose","net.minecraft.world.entity.EntityType","creature","0.5","0.9","","1"
"cnc:howler","cnc","howler","entity.cnc.howler","net.minecraft.world.entity.EntityType","monster","1.3","1.3","","1"
"cnc:marmot","cnc","marmot","entity.cnc.marmot","net.minecraft.world.entity.EntityType","creature","0.7","0.6","","1"
"cnc:mouse","cnc","mouse","entity.cnc.mouse","net.minecraft.world.entity.EntityType","creature","0.3","0.3","","2"
"cnc:mule_deer","cnc","mule_deer","entity.cnc.mule_deer","net.minecraft.world.entity.EntityType","creature","1.2","1.4","","1"
"cnc:pit_viper","cnc","pit_viper","entity.cnc.pit_viper","net.minecraft.world.entity.EntityType","creature","1.0","0.5","","1"
"cnc:rattlesnake","cnc","rattlesnake","entity.cnc.rattlesnake","net.minecraft.world.entity.EntityType","creature","1.0","0.5","","1"
"cnc:ringtail","cnc","ringtail","entity.cnc.ringtail","net.minecraft.world.entity.EntityType","creature","0.6","0.8","","1"
"cnc:sasquatch","cnc","sasquatch","entity.cnc.sasquatch","net.minecraft.world.entity.EntityType","creature","0.8","2.6","","1"
"cnc:skinwalker","cnc","skinwalker","entity.cnc.skinwalker","net.minecraft.world.entity.EntityType","monster","0.6","1.8","","1"
"cnc:skunk","cnc","skunk","entity.cnc.skunk","net.minecraft.world.entity.EntityType","creature","0.7","0.6","","1"
"cnc:snake","cnc","snake","entity.cnc.snake","net.minecraft.world.entity.EntityType","creature","1.0","0.5","","1"
"cnc:squonk","cnc","squonk","entity.cnc.squonk","net.minecraft.world.entity.EntityType","monster","0.9","0.9","","1"
"cnc:timber_wolf","cnc","timber_wolf","entity.cnc.timber_wolf","net.minecraft.world.entity.EntityType","creature","0.6","0.9","","2"
"cnc:turkey","cnc","turkey","entity.cnc.turkey","net.minecraft.world.entity.EntityType","creature","0.8","0.7","","1"
"cnc:wechuge","cnc","wechuge","entity.cnc.wechuge","net.minecraft.world.entity.EntityType","monster","0.8","2.2","minecraft:can_breathe_under_water|minecraft:ignores_poison_and_regen|minecraft:inverted_healing_and_harm|minecraft:sensitive_to_smite|minecraft:undead|minecraft:wither_friends","2"
"cnc:wendigo","cnc","wendigo","entity.cnc.wendigo","net.minecraft.world.entity.EntityType","monster","0.8","1.8","minecraft:can_breathe_under_water|minecraft:ignores_poison_and_regen|minecraft:inverted_healing_and_harm|minecraft:sensitive_to_smite|minecraft:undead|minecraft:wither_friends","1"
"cnc:white_tailed_deer","cnc","white_tailed_deer","entity.cnc.white_tailed_deer","net.minecraft.world.entity.EntityType","creature","1.2","1.4","","1"
"cnc:wolverine","cnc","wolverine","entity.cnc.wolverine","net.minecraft.world.entity.EntityType","creature","0.9","0.8","","1"
"eidolon_repraised:bonechill_projectile","eidolon_repraised","bonechill_projectile","entity.eidolon_repraised.bonechill_projectile","net.minecraft.world.entity.EntityType","misc","0.4","0.4","","0"
"eidolon_repraised:chant_caster","eidolon_repraised","chant_caster","entity.eidolon_repraised.chant_caster","net.minecraft.world.entity.EntityType","misc","1.0","1.0","","0"
"eidolon_repraised:giant_skeleton","eidolon_repraised","giant_skeleton","entity.eidolon_repraised.giant_skeleton","net.minecraft.world.entity.EntityType","monster","1.2","2.75","identity:burns_in_daylight|minecraft:can_breathe_under_water|minecraft:ignores_poison_and_regen|minecraft:inverted_healing_and_harm|minecraft:sensitive_to_smite|minecraft:undead|minecraft:wither_friends","2"
"eidolon_repraised:necromancer","eidolon_repraised","necromancer","entity.eidolon_repraised.necromancer","net.minecraft.world.entity.EntityType","monster","0.6","2.2","minecraft:can_breathe_under_water|minecraft:ignores_poison_and_regen|minecraft:inverted_healing_and_harm|minecraft:sensitive_to_smite|minecraft:undead|minecraft:wither_friends","0"
"eidolon_repraised:necromancer_spell","eidolon_repraised","necromancer_spell","entity.eidolon_repraised.necromancer_spell","net.minecraft.world.entity.EntityType","misc","0.4","0.4","","0"
"eidolon_repraised:raven","eidolon_repraised","raven","entity.eidolon_repraised.raven","net.minecraft.world.entity.EntityType","creature","0.375","0.5","identity:flying","2"
"eidolon_repraised:slimy_slug","eidolon_repraised","slimy_slug","entity.eidolon_repraised.slimy_slug","net.minecraft.world.entity.EntityType","creature","0.5","0.25","","1"
"eidolon_repraised:soulfire_projectile","eidolon_repraised","soulfire_projectile","entity.eidolon_repraised.soulfire_projectile","net.minecraft.world.entity.EntityType","misc","0.4","0.4","","0"
"eidolon_repraised:wraith","eidolon_repraised","wraith","entity.eidolon_repraised.wraith","net.minecraft.world.entity.EntityType","monster","0.6","1.9","identity:burns_in_daylight|identity:lava_walking|minecraft:can_breathe_under_water|minecraft:ignores_poison_and_regen|minecraft:inverted_healing_and_harm|minecraft:sensitive_to_smite|minecraft:undead|minecraft:wither_friends","3"
"eidolon_repraised:zombie_brute","eidolon_repraised","zombie_brute","entity.eidolon_repraised.zombie_brute","net.minecraft.world.entity.EntityType","monster","1.2","2.5","identity:burns_in_daylight|minecraft:can_breathe_under_water|minecraft:ignores_poison_and_regen|minecraft:inverted_healing_and_harm|minecraft:sensitive_to_smite|minecraft:undead|minecraft:wither_friends","1"
"enchanted:broomstick","enchanted","broomstick","entity.enchanted.broomstick","net.minecraft.world.entity.EntityType","misc","1.0","1.0","","0"
"enchanted:familiar_cat","enchanted","familiar_cat","entity.enchanted.familiar_cat","net.minecraft.world.entity.EntityType","creature","0.6","0.7","enchanted:taglock_blacklist","1"
"enchanted:mandrake","enchanted","mandrake","entity.enchanted.mandrake","net.minecraft.world.entity.EntityType","monster","0.4","0.7","","2"
"enchanted:throwable_brew","enchanted","throwable_brew","entity.enchanted.throwable_brew","net.minecraft.world.entity.EntityType","misc","0.25","0.25","","0"
"enchanted:voodoo_item","enchanted","voodoo_item","entity.enchanted.voodoo_item","net.minecraft.world.entity.EntityType","misc","0.25","0.25","","0"
"fangs_n_claws:baby_owlbear","fangs_n_claws","baby_owlbear","entity.fangs_n_claws.baby_owlbear","net.minecraft.world.entity.EntityType","creature","0.9","0.9","","0"
"fangs_n_claws:baby_scorpion","fangs_n_claws","baby_scorpion","entity.fangs_n_claws.baby_scorpion","net.minecraft.world.entity.EntityType","monster","0.6","0.4","","0"
"fangs_n_claws:baby_shrike","fangs_n_claws","baby_shrike","entity.fangs_n_claws.baby_shrike","net.minecraft.world.entity.EntityType","creature","0.9","0.9","","0"
"fangs_n_claws:block_projectile","fangs_n_claws","block_projectile","entity.fangs_n_claws.block_projectile","net.minecraft.world.entity.EntityType","misc","1.5","1.5","","0"
"fangs_n_claws:catching_claw_hook","fangs_n_claws","catching_claw_hook","entity.fangs_n_claws.catching_claw_hook","net.minecraft.world.entity.EntityType","misc","0.25","0.25","","0"
