id,namespace,path,description_id,class,max_stack,max_damage,tags,producer_recipes,consumer_recipes,resource_references
"aa4-atlas:antique_atlas","aa4-atlas","antique_atlas","item.aa4-atlas.antique_atlas","com.lumiscosity.aa4atlas.AtlasItem","1","0","","1","0","2"
"antiqueatlas:antique_atlas","antiqueatlas","antique_atlas","item.antiqueatlas.antique_atlas","hunternif.mc.impl.atlas.item.AtlasItem","1","0","","1","0","0"
"antiqueatlas:empty_antique_atlas","antiqueatlas","empty_antique_atlas","item.antiqueatlas.empty_antique_atlas","hunternif.mc.impl.atlas.item.EmptyAtlasItem","64","0","","2","0","2"
"betterarcheology:archeology_table","betterarcheology","archeology_table","block.betterarcheology.archeology_table","net.minecraft.world.item.BlockItem","64","0","","1","0","3"
"betterarcheology:artifact_shards","betterarcheology","artifact_shards","item.betterarcheology.artifact_shards","net.minecraft.world.item.Item","64","0","","0","2","13"
"betterarcheology:bomb","betterarcheology","bomb","item.betterarcheology.bomb","net.Pandarix.item.BombItem","16","0","","1","0","6"
"betterarcheology:chicken_fossil","betterarcheology","chicken_fossil","block.betterarcheology.chicken_fossil","net.minecraft.world.item.BlockItem","64","0","","1","0","3"
"betterarcheology:chicken_fossil_body","betterarcheology","chicken_fossil_body","block.betterarcheology.chicken_fossil_body","net.minecraft.world.item.BlockItem","64","0","","0","1","6"
"betterarcheology:chicken_fossil_head","betterarcheology","chicken_fossil_head","block.betterarcheology.chicken_fossil_head","net.minecraft.world.item.BlockItem","64","0","","0","1","6"
"betterarcheology:chiseled_bone_block","betterarcheology","chiseled_bone_block","block.betterarcheology.chiseled_bone_block","net.minecraft.world.item.BlockItem","64","0","","0","0","1"
"betterarcheology:cracked_mud_brick_slab","betterarcheology","cracked_mud_brick_slab","block.betterarcheology.cracked_mud_brick_slab","net.minecraft.world.item.BlockItem","64","0","","2","0","4"
"betterarcheology:cracked_mud_brick_stairs","betterarcheology","cracked_mud_brick_stairs","block.betterarcheology.cracked_mud_brick_stairs","net.minecraft.world.item.BlockItem","64","0","","2","0","4"
"betterarcheology:cracked_mud_bricks","betterarcheology","cracked_mud_bricks","block.betterarcheology.cracked_mud_bricks","net.minecraft.world.item.BlockItem","64","0","","1","4","12"
"betterarcheology:creeper_fossil","betterarcheology","creeper_fossil","block.betterarcheology.creeper_fossil","net.minecraft.world.item.BlockItem","64","0","","1","0","3"
"betterarcheology:creeper_fossil_body","betterarcheology","creeper_fossil_body","block.betterarcheology.creeper_fossil_body","net.minecraft.world.item.BlockItem","64","0","","0","1","6"
"betterarcheology:creeper_fossil_head","betterarcheology","creeper_fossil_head","block.betterarcheology.creeper_fossil_head","net.minecraft.world.item.BlockItem","64","0","","0","1","6"
"betterarcheology:diamond_brush","betterarcheology","diamond_brush","item.betterarcheology.diamond_brush","net.Pandarix.item.BetterBrushItem","1","512","c:enchantables|c:tools|c:tools/brush|enchanted:tool_poppet_whitelist|immersiveengineering:toolbox/tools|minecraft:enchantable/durability|minecraft:enchantable/vanishing","1","1","6"
"betterarcheology:evoker_trap","betterarcheology","evoker_trap","block.betterarcheology.evoker_trap","net.minecraft.world.item.BlockItem","64","0","","0","0","1"
"betterarcheology:fossiliferous_dirt","betterarcheology","fossiliferous_dirt","block.betterarcheology.fossiliferous_dirt","net.minecraft.world.item.BlockItem","64","0","minecraft:dirt","0","1","9"
"betterarcheology:growth_totem","betterarcheology","growth_totem","block.betterarcheology.growth_totem","net.minecraft.world.item.BlockItem","64","0","c:animal_foods|minecraft:bee_food|minecraft:flowers|minecraft:small_flowers","0","3","3"
"betterarcheology:guardian_fossil","betterarcheology","guardian_fossil","block.betterarcheology.guardian_fossil","net.minecraft.world.item.BlockItem","64","0","","1","0","3"
"betterarcheology:guardian_fossil_body","betterarcheology","guardian_fossil_body","block.betterarcheology.guardian_fossil_body","net.minecraft.world.item.BlockItem","64","0","","0","1","6"
"betterarcheology:guardian_fossil_head","betterarcheology","guardian_fossil_head","block.betterarcheology.guardian_fossil_head","net.minecraft.world.item.BlockItem","64","0","","0","1","6"
"betterarcheology:infested_mud_bricks","betterarcheology","infested_mud_bricks","block.betterarcheology.infested_mud_bricks","net.minecraft.world.item.BlockItem","64","0","","0","0","1"
"betterarcheology:iron_brush","betterarcheology","iron_brush","item.betterarcheology.iron_brush","net.Pandarix.item.BetterBrushItem","1","128","c:enchantables|c:tools|c:tools/brush|enchanted:tool_poppet_whitelist|immersiveengineering:toolbox/tools|minecraft:enchantable/durability|minecraft:enchantable/vanishing","1","1","5"
"betterarcheology:loot_vase","betterarcheology","loot_vase","block.betterarcheology.loot_vase","net.minecraft.world.item.BlockItem","64","0","","0","0","0"
"betterarcheology:loot_vase_creeper","betterarcheology","loot_vase_creeper","block.betterarcheology.loot_vase_creeper","net.minecraft.world.item.BlockItem","64","0","","0","0","0"
"betterarcheology:loot_vase_green","betterarcheology","loot_vase_green","block.betterarcheology.loot_vase_green","net.minecraft.world.item.BlockItem","64","0","","0","0","0"
"betterarcheology:music_disc_swings","betterarcheology","music_disc_swings","item.betterarcheology.music_disc_swings","net.minecraft.world.item.Item","1","0","c:music_discs|malum:arcane_elegy_component","0","1","1"
