id,namespace,serializer,serializer_namespace,recipe_type,result,result_count,ingredient_slots,ingredient_probe_status,result_probe_status,class
"aa4-atlas:antique_atlas","aa4-atlas","minecraft:crafting_shapeless","minecraft","minecraft:crafting","aa4-atlas:antique_atlas","1","2","OK","OK","net.minecraft.world.item.crafting.ShapelessRecipe"
"almostunified:betterarcheology","almostunified","almostunified:client_recipe_tracker","almostunified","almostunified:client_recipe_tracker","","","0","EMPTY","EMPTY","com.almostreliable.unified.compat.viewer.ClientRecipeTracker"
"almostunified:bloodlines","almostunified","almostunified:client_recipe_tracker","almostunified","almostunified:client_recipe_tracker","","","0","EMPTY","EMPTY","com.almostreliable.unified.compat.viewer.ClientRecipeTracker"
"almostunified:eidolon_repraised","almostunified","almostunified:client_recipe_tracker","almostunified","almostunified:client_recipe_tracker","","","0","EMPTY","EMPTY","com.almostreliable.unified.compat.viewer.ClientRecipeTracker"
"almostunified:enchanted","almostunified","almostunified:client_recipe_tracker","almostunified","almostunified:client_recipe_tracker","","","0","EMPTY","EMPTY","com.almostreliable.unified.compat.viewer.ClientRecipeTracker"
"almostunified:fangs_n_claws","almostunified","almostunified:client_recipe_tracker","almostunified","almostunified:client_recipe_tracker","","","0","EMPTY","EMPTY","com.almostreliable.unified.compat.viewer.ClientRecipeTracker"
"almostunified:farmersdelight","almostunified","almostunified:client_recipe_tracker","almostunified","almostunified:client_recipe_tracker","","","0","EMPTY","EMPTY","com.almostreliable.unified.compat.viewer.ClientRecipeTracker"
"almostunified:feywild","almostunified","almostunified:client_recipe_tracker","almostunified","almostunified:client_recipe_tracker","","","0","EMPTY","EMPTY","com.almostreliable.unified.compat.viewer.ClientRecipeTracker"
"almostunified:graveyard","almostunified","almostunified:client_recipe_tracker","almostunified","almostunified:client_recipe_tracker","","","0","EMPTY","EMPTY","com.almostreliable.unified.compat.viewer.ClientRecipeTracker"
"almostunified:immersiveengineering","almostunified","almostunified:client_recipe_tracker","almostunified","almostunified:client_recipe_tracker","","","0","EMPTY","EMPTY","com.almostreliable.unified.compat.viewer.ClientRecipeTracker"
"almostunified:kaleidoscope_tavern","almostunified","almostunified:client_recipe_tracker","almostunified","almostunified:client_recipe_tracker","","","0","EMPTY","EMPTY","com.almostreliable.unified.compat.viewer.ClientRecipeTracker"
"almostunified:malum","almostunified","almostunified:client_recipe_tracker","almostunified","almostunified:client_recipe_tracker","","","0","EMPTY","EMPTY","com.almostreliable.unified.compat.viewer.ClientRecipeTracker"
"almostunified:malumarma","almostunified","almostunified:client_recipe_tracker","almostunified","almostunified:client_recipe_tracker","","","0","EMPTY","EMPTY","com.almostreliable.unified.compat.viewer.ClientRecipeTracker"
"almostunified:mca","almostunified","almostunified:client_recipe_tracker","almostunified","almostunified:client_recipe_tracker","","","0","EMPTY","EMPTY","com.almostreliable.unified.compat.viewer.ClientRecipeTracker"
"almostunified:mcasocial","almostunified","almostunified:client_recipe_tracker","almostunified","almostunified:client_recipe_tracker","","","0","EMPTY","EMPTY","com.almostreliable.unified.compat.viewer.ClientRecipeTracker"
"almostunified:minecraft","almostunified","almostunified:client_recipe_tracker","almostunified","almostunified:client_recipe_tracker","","","0","EMPTY","EMPTY","com.almostreliable.unified.compat.viewer.ClientRecipeTracker"
"almostunified:mobs_of_mythology","almostunified","almostunified:client_recipe_tracker","almostunified","almostunified:client_recipe_tracker","","","0","EMPTY","EMPTY","com.almostreliable.unified.compat.viewer.ClientRecipeTracker"
